"County","State","Years_of_Potential_Life_Lost_Rate","Fair_Poor","Physically_Unhealthy_Days","Mentally_Unhealthy_Days","LBW","Smokers","Obese","Food_Environment_Index","Physically_Inactive","With_Access","Excessive_Drinking","Alcohol_Impaired","Chlamydia_Rate","Teen_Birth_Rate","Uninsured","PCP_Rate","Dentist_Rate","MHP_Rate","Preventable_Hosp__Rate","Screened","Vaccinated","Graduation_Rate","Population_25_44","Some_College","Unemployed","Children_in_Poverty","Income_Ratio","Single_Parent_Households","Association_Rate","Violent_Crime_Rate","Injury_Death_Rate","Average_Daily_PM2_5","Presence_of_violation","Severe_Housing_Problems","Drive_Alone","Long_Commute_Drives_Alone"
"Turner_South Dakota","South Dakota",8039.2976341,10.737532301,2.7633808248,2.6437968103,4.1401273885,14.154832871,34.7,9,19.4,60.368994848,17.789281513,33.333333333,158.4,8.6405529954,9.0660176453,12.02357,24.05292,12.02646,4872,47,38,91.00988764,1809,68.601437258,3.229919252,11,4.2509572775,25.210084034,26.451845617,139.09046928,98.857115301,7.7,"No",9.2329545455,77.022577611,47.2
"Union_South Dakota","South Dakota",4602.8197963,9.4016457646,2.5719114409,2.4898372766,6.0787671233,14.064510407,32.2,9,22,71.949440933,21.174782021,14.285714286,147.6,9.300930093,6.2949214122,66.9613,79.84563,39.92282,4096,52,47,95.055494505,3485,72.424677188,3.6840777189,6.6,3.9217627033,22.538293217,13.392259274,145.69993482,48.173424328,8.7,"No",6.8181818182,84.350368675,22.8
"Walworth_South Dakota","South Dakota",8846.8624776,11.310157031,2.9676618895,2.863166106,5.8161350844,14.798306839,31.7,7.8,24.9,64.803236484,18.106145603,60,385.8,35.849056604,12.517985612,89.12656,54.12232,144.32618,5074,47,19,95.943783784,1246,64.606741573,5.1408135896,20.9,3.8171061378,18.233387358,24.95543672,260.94520151,112.1928269,5.4,"No",6.6945606695,72.607385079,13
"Yankton_South Dakota","South Dakota",7694.4880223,12.424918768,3.0033618698,2.8527338518,7.3899371069,15.743320706,35.7,7.8,17,83.211516178,18.985324164,39.285714286,334.8,28.65448505,8.9710076046,101.69791,52.95208,520.69544,4308,47,56,95.907272727,5376,65.476190476,2.954683303,12.4,4.6066585044,27.299703264,15.917934206,290.23746702,87.332392378,7.8,"Yes",11.91011236,81.340482574,10.7
"Ziebach_South Dakota","South Dakota",13942.582878,28.428074115,5.3486100217,4.5429079677,7.7586206897,32.024969099,45.2,4.6,25.5,38.70046412,16.115952338,40,927.6,39.913700108,18.196328811,12.2459,0,12.12268,1727,11,22,61.9,701,41.512125535,5.2083333333,74.7,5.6060729074,56.342494715,7.1403070332,0,156.91868759,4.9,"Yes",23.456790123,55.495689655,35.9
"Anderson_Tennessee","Tennessee",9535.8940116,19.097631269,4.6665070023,4.6854112762,8.7614926988,20.712384916,32.1,7.5,28.4,66.260698266,13.73647771,30,347.2,36.618942731,9.2024539877,60.57733,72.12453,90.4835,4867,49,54,92.083818393,17614,58.322924946,3.9005120702,21.9,4.8571213641,37.646908533,15.539401601,400.72801584,106.59293109,10.3,"No",13.49232277,86.769983169,33.7
"Bedford_Tennessee","Tennessee",9761.7670669,21.541615975,4.8076077198,4.722759894,8.746826679,21.397060975,32.7,7.9,32.5,51.134093835,14.593471461,51.063829787,324.3,42.637862422,12.993569778,37.90751,24.93921,68.58283,6034,42,45,90.893169877,12114,41.381872214,3.9145041141,22.9,3.9172793246,36.180736021,9.4768764215,425.26432469,86.268443598,10.5,"Yes",15.281100478,81.824243868,35.5
"Benton_Tennessee","Tennessee",12828.456636,21.204563245,5.2434288426,5.1228743611,8.1468218442,22.664480716,34.6,7.4,31.6,48.30493056,12.204854253,40.740740741,347.2,49.92,11.811803549,18.73361,18.76642,37.53284,6528,32,47,95.78313253,3422,44.272355348,5.3774560496,29.7,4.8943637008,35.899033967,13.113525665,151.52920803,161.36239511,10,"No",16.064848931,86.957308249,27
"Bledsoe_Tennessee","Tennessee",7734.6118306,22.026180687,5.1468523363,4.7874264163,7.1261682243,25.607088233,34.8,7.8,28.8,25.326188257,13.911751984,50,1241.2,41.526845638,14.038603523,6.81431,20.38459,27.17945,5025,36,34,85.483870968,3954,33.611532625,5.8605513088,30.1,4.6416076988,29.355814959,4.7700170358,173.10397057,84.906461382,9.4,"No",17.530319735,76.632970451,50.6
"Blount_Tennessee","Tennessee",8267.9473207,16.732364908,4.5520413681,4.5261388847,7.8050981277,19.058730981,34.6,7.7,25.9,67.16283229,14.145915327,31.19266055,371.7,30.263549732,10.137700182,71.50074,57.72383,118.52627,4892,45,54,94.436090226,29975,58.452043369,3.4811303968,17.1,4.2263694716,26.600327881,11.346856299,353.53913143,81.124762667,10.1,"Yes",12.766391353,85.579425954,35.7
"Bradley_Tennessee","Tennessee",8152.7767652,20.964465924,5.0049825046,4.6736656648,8.3652465294,20.085041568,38.1,7.3,32.4,74.931034831,13.283368868,31.746031746,395.8,34.017234304,13.012721506,56.46473,49.26108,70.10231,5345,42,44,90.89376054,25890,56.840478949,3.659411624,20.6,4.4910594878,31.84148779,14.45114365,554.09123266,72.644730656,10.7,"No",15.741583258,83.670152008,25.9
"Campbell_Tennessee","Tennessee",13350.063163,21.991083603,5.1071177441,4.9636026755,10.465116279,25.034554927,32.5,7,29.5,65.207780725,13.561513567,25,309.4,49.224116001,11.587886557,50.36007,30.26634,37.83293,8949,39,42,93.695652174,9387,43.134121658,5.1197301855,32.4,5.3325301205,36.596970076,11.079216397,418.61456127,114.41762433,9.7,"No",13.597999375,84.866852823,36.2
"Cannon_Tennessee","Tennessee",11040.458727,19.170215023,4.5914161135,4.7417345948,8.785046729,21.471053985,35.4,8.4,29.8,21.194116368,14.452252771,15.384615385,303.5,36.24813154,11.847460626,28.51643,21.10298,28.13731,6293,40,47,92.700729927,3418,41.720304272,3.5445068164,22.7,4.1790354762,32.073544433,9.2678405931,177.18314952,136.46484235,9.7,"No",11.59554731,84.421439305,62.4
"Carroll_Tennessee","Tennessee",11710.692087,21.559772062,4.932889289,4.6839230189,7.6395242452,21.081063019,34.1,7.6,33.8,24.044597153,12.85157652,25.806451613,523.1,31.949374904,9.9094851971,49.83625,28.715,43.07251,6147,36,51,96.496815287,6216,48.986486486,5.1583333333,25.8,4.8461245477,31.432870757,14.238929233,253.5595865,98.049664286,10.2,"No",13.473589973,87.002038169,31.8
"Carter_Tennessee","Tennessee",9420.7205797,21.384703285,5.1179311032,5.0989407583,9.1034864416,23.88572055,35.8,6.1,28.8,81.359710226,12.717570956,37.037037037,253.2,34.106537086,11.410589684,38.93667,30.09489,28.3246,6447,42,42,93.563579278,13587,48.789283874,4.5418426666,29,4.7324275613,36.11059393,14.51276061,270.6788062,88.121254847,9.4,"No",15.065913371,86.669937118,29.7
