County;State;Years_of_Potential_Life_Lost_Rate;Fair_Poor;Physically_Unhealthy_Days;Mentally_Unhealthy_Days;LBW;Smokers;With_Access;Excessive_Drinking;Alcohol_Impaired;Chlamydia_Rate;Teen_Birth_Rate;Uninsured;PCP_Rate;Dentist_Rate;MHP_Rate;Preventable_Hosp__Rate;Screened;Vaccinated;Graduation_Rate;Population_25_44;Some_College;Unemployed
Mason_Michigan;Michigan;7100.4571922;16.497261452;4.191645411;4.2089066732;7.4531095755;18.138372605;85.298728445;19.240948307;18.518518519;191.1;29.379360999;7.1826430689;86.57709;48.15465;288.92787;4232;50;34;86.246561605;5911;65.775672475;5.8109157664
Mecosta_Michigan;Michigan;6466.0037207;16.373513043;4.2676281679;4.3160515167;6.5918653576;22.009741131;68.073274452;21.791685492;48;352.9;16.310574914;7.543263288;53.21487;53.00638;117.53589;3204;41;32;80.208083333;8601;59.353563539;5.802697699
Menominee_Michigan;Michigan;6096.3624151;14.632048998;4.0711671597;4.1025314487;5.1136363636;18.503208183;73.827458488;19.530554357;30.769230769;293;25.592216582;7.487231296;38.65813;60.74807;99.8004;3025;49;35;86.691863118;4622;60.363479013;5.0281357778
Midland_Michigan;Michigan;5781.500878;12.165316288;3.5988413915;3.8575754165;7.223701731;15.683095181;81.425103732;21.790041753;39.024390244;234.4;14.122958996;5.5661456348;91.0594;69.53519;219.39552;3652;47;52;88.854530444;19738;71.932313304;4.7519079256
Missaukee_Michigan;Michigan;6844.3467213;16.101361017;4.2386466461;4.2271053375;5.7188244639;19.970420857;66.583608324;21.273557922;14.285714286;241.6;31.430404105;8.281642917;26.48656;13.33511;26.67022;3813;45;48;80.575539568;3155;51.727416799;5.971847007
Monroe_Michigan;Michigan;8259.1879814;13.704578582;3.6971811215;3.8788514677;7.3305800638;16.792758921;81.790673657;22.01322291;42.592592593;254.1;20.162000352;5.0651757033;31.49965;40.76205;155.69767;5908;41;47;88.002525126;34653;63.35382218;4.8568326597
Montcalm_Michigan;Michigan;7489.0397809;17.458677925;4.2387087477;4.2574019046;6.8343898574;19.717452944;70.425625967;20.887000598;27.450980392;273.3;30.53661429;7.2417743654;42.87484;42.48623;185.68057;4387;45;33;88.068880689;15142;54.431382908;5.0739807685
Montmorency_Michigan;Michigan;10239.707342;15.364783091;4.2961429375;4.3600089857;6.4516129032;17.466578245;71.643625192;16.910346002;50;ápr.86;27.590847914;8.4128498728;87.21247;43.24324;118.91892;4302;43;31;76;1473;46.911065852;10.800131709
Muskegon_Michigan;Michigan;8343.2871564;17.760013786;4.3992619232;4.5685314635;9.634551495;20.530354316;77.394475806;20.020797802;18.604651163;715.9;33.908691656;6.052966132;62.28086;65.63304;196.3234;2939;46;49;80.617403846;42617;58.331182392;5.4122491783
Newaygo_Michigan;Michigan;7365.0253354;15.21630005;4.1466849581;4.1756903352;7.0070330815;19.756297792;78.687577383;18.695174721;23.076923077;279.5;32.029152282;7.5679609127;41.72056;55.96783;178.2679;3846;39;31;83.729940476;10465;51.887243192;5.0051159618
Oakland_Michigan;Michigan;5879.49851;11.919910548;3.2682422894;3.5811499645;8.3023478168;14.578512887;94.341554374;19.915802462;24.179104478;319.3;10.969712207;5.1915695396;141.48251;107.92782;315.62891;5527;42;49;89.713440528;313633;81.190754799;3.4377866834
Oceana_Michigan;Michigan;7568.2223425;18.937060077;4.6338238308;4.5561276908;8.3858458556;20.516749342;89.010161837;18.580242635;35.714285714;298.8;36.730470771;10.375618752;53.79029;30.2549;34.03676;3271;47;31;92.929292929;5363;50.550065262;7.1549568444
Ogemaw_Michigan;Michigan;9386.6946535;17.829434178;4.4746095972;4.5109447713;6.5909090909;19.057258451;69.201345684;17.371435266;26.086956522;181.5;26.277372263;8.0484973559;38.27019;38.12974;61.96082;5580;43;32;76.331005917;4025;57.416149068;7.8417091527
Ontonagon_Michigan;Michigan;6740.3429558;16.432151644;4.3006903333;4.3673179719;6.0465116279;17.301349252;71.85840708;15.853450425;25;133.2;14.629049112;8.5200625326;16.91761;51.01173;34.00782;3777;43;31;91.666666667;830;61.204819277;9.0951061865
Osceola_Michigan;Michigan;7894.1170456;19.38860889;4.5034871921;4.5492091248;6.757493188;21.275471713;60.209112547;18.958289459;50;203.8;29.118773946;7.3771397018;30.28992;8.59845;128.97678;2963;45;33;88.518518519;4918;47.519316795;6.0805722892
Oscoda_Michigan;Michigan;11062.734689;17.976546667;4.4502737782;4.4509196439;9.6989966555;19.343829111;95.046296296;17.304910188;40;218.2;34.375;9.1136705058;24.20136;24.13419;48.26837;4447;32;25;77.611940299;1395;50.322580645;7.4804488269
Otsego_Michigan;Michigan;7764.7813818;14.320615612;3.8700712051;4.0921005971;7.5373993096;17.432836171;82.068366165;20.7461363;25;263.9;26.070409134;7.0532102479;77.6461;69.2803;224.14215;4160;41;33;81.609195402;4962;66.928657799;6.1193006514
